T,tau_int_metropolis
1.600000000000000089e+00,1.528742951280727791e+00
1.790000000000000036e+00,2.046508471906418158e+00
1.979000000000000092e+00,3.131971330637086659e+00
2.169000000000000039e+00,1.235594849673843854e+01
2.218999999999999861e+00,1.746603628256795204e+01
2.244000000000000217e+00,3.141291054160858920e+01
2.269000000000000128e+00,4.607342255067105441e+01
2.294000000000000039e+00,3.940297937687557805e+01
2.318999999999999950e+00,3.412188200700856555e+01
2.419000000000000039e+00,1.266950460658233624e+01
2.678999999999999826e+00,3.198524751647488618e+00
2.939999999999999947e+00,2.049938261631497838e+00
3.200000000000000178e+00,1.579896997540841674e+00
