T,F_per_spin,F_exact,E_per_spin,C_per_spin,m_abs,S_per_spin
3.5,-2.4334118366241455,-2.7328499174442857,-0.017066406086087227,0.16662946039316603,0.04982304573059082,0.6903844087251595
3.2298,-2.254129774081707,-2.57570984337177,-0.05688047036528587,0.21587458256753947,0.050978124141693115,0.6803050664797886
2.9596,-2.152480176448822,-2.425804370755061,-0.7163812518119812,0.6893951118386852,0.07522734254598618,0.48523412779998676
2.6894,-2.0486225115060805,-2.286498882622354,-0.998157799243927,0.6043881500382638,0.06334999948740005,0.3905944494170274
2.4192,-1.9594856758117676,-2.1643201633182856,-1.2080539464950562,0.5490277801650214,0.08828828483819962,0.3106116605971856
2.3192,-1.9334658958911894,-2.1262517135648906,-1.2841203212738037,0.5054000063275311,0.10366953164339066,0.2799868810871791
2.2942,-1.928152159702778,-2.117683681985852,-1.292199969291687,0.4846080814817723,0.11530078202486038,0.27719997838509763
2.2692,-1.9228285343170166,-2.1096568743478676,-1.3257359266281128,0.47787114911009265,0.12307421863079071,0.2631291237832292
2.2442,-1.9183516256213191,-2.1023616506556304,-1.3369797468185425,0.4704177708970967,0.11629101634025574,0.2590552886564373
2.2192,-1.914358438014984,-2.095618295913647,-1.3483320474624634,0.4620126205601402,0.12493359297513962,0.2550587556563269
2.1192,-1.8911820935726167,-2.0726463745958936,-1.3819421529769897,0.4624735000707153,0.13226483762264252,0.24029819771405572
1.8394,-1.8374162320375442,-2.031212578642074,-1.5209749937057495,0.37147384784991005,0.13382109999656677,0.1720350322560589
1.5596,-1.7984123370170593,-2.0109654992779653,-1.6207195520401,0.2680487366392094,0.13776171207427979,0.1139348454584247
1.2798,-1.7729631350755692,-2.002709300684386,-1.6782054901123047,0.19462787204531543,0.1335519552230835,0.07404097903052395
1.0,-1.7578543424606323,-2.0003482837007107,-1.7158772945404053,0.14110387861728668,0.13297969102859497,0.04197704792022705
