T,F_per_spin,F_exact,E_per_spin,C_per_spin,m_abs,S_per_spin
3.5,-2.4955907464027405,-2.7328499174442857,-0.20072811841964722,0.24315407811378945,0.20649375021457672,0.6556750365665981
3.2298,-2.3746936892151833,-2.57570984337177,-0.6751750111579895,0.6433369202278366,0.49842655658721924,0.5261993553957501
2.9596,-2.2677120428085327,-2.425804370755061,-1.0285311937332153,0.7887674866361306,0.6636031270027161,0.41869875965512815
2.6894,-2.1749131987333294,-2.286498882622354,-1.2925374507904053,0.7849689026947992,0.7687422037124634,0.32809390493899165
2.4192,-2.102808849334717,-2.1643201633182856,-1.49623441696167,0.750504609235235,0.8446734547615051,0.2507334789901814
2.3192,-2.0830957067012785,-2.1262517135648906,-1.5999406576156616,0.6354370550547443,0.8797249794006348,0.20832832402794796
2.2942,-2.0812108113884924,-2.117683681985852,-1.6074718236923218,0.6547007659302186,0.8809609413146973,0.206494197409193
2.2692,-2.078666073060036,-2.1096568743478676,-1.625406265258789,0.6353043966187234,0.8868359327316284,0.19974431861503916
2.2442,-2.076458743739128,-2.1023616506556304,-1.6501624584197998,0.6084973445709836,0.8947906494140625,0.18995467664171123
2.2192,-2.073285874080658,-2.095618295913647,-1.6528749465942383,0.6055404656926218,0.895592212677002,0.18944255924946812
2.1192,-2.057338649082184,-2.0726463745958936,-1.7189500331878662,0.5623065622468436,0.9171437621116638,0.15967752731894955
1.8394,-2.0237068885326384,-2.031212578642074,-1.8555344343185425,0.3775873455637326,0.9596921801567078,0.09142788638365548
1.5596,-2.005382173871994,-2.0109654992779653,-1.9309155941009521,0.24464698412642882,0.9815640449523926,0.04774722991218388
1.2798,-1.9974455713033679,-2.002709300684386,-1.9716531038284302,0.1457044252202403,0.9925781488418579,0.020153514201389035
1.0,-1.9946212768554688,-2.0003482837007107,-1.987625002861023,0.09750387817621231,0.9968327879905701,0.006996273994445801
