T,F_per_spin,F_exact,E_per_spin,C_per_spin,m_abs,S_per_spin
3.5,-2.4482801490359836,-2.7328499174442857,-0.02993333339691162,0.16315096900576634,0.13473333252800834,0.6909562330397349
3.2298,-2.2803847990353905,-2.57570984337177,-0.0662777754995558,0.19653594512346503,0.1406666702694363,0.6855244979676249
2.9596,-2.114364505004883,-2.425804370755061,-0.11490000618828668,0.25795215141581934,0.16053611702389187,0.6755860585270294
2.6894,-2.032489311536153,-2.286498882622354,-0.6413222418891059,0.6436719785986003,0.46315834257337785,0.5172778573834488
2.4192,-1.983014208984375,-2.1643201633182856,-1.1236055162217882,0.9423638322040413,0.6883833143446181,0.3552449953549053
2.3192,-1.9868443783654106,-2.1262517135648906,-1.319316652086046,0.9361557296351606,0.7765611012776693,0.2878267188165594
2.2942,-2.008277316241794,-2.117683681985852,-1.4101611243353949,0.8763880837577132,0.811555544535319,0.26070795567361144
2.2692,-2.021108683013916,-2.1096568743478676,-1.4927166832817926,0.7855922970869692,0.8446278042263455,0.23285386908695724
2.2442,-2.0266188622368713,-2.1023616506556304,-1.5630444420708551,0.6759668912218214,0.8683250215318468,0.20656555572855187
2.2192,-2.0287649827745224,-2.095618295913647,-1.5668111377292209,0.6864705989503738,0.870252768198649,0.20816233104060095
2.1192,-2.0137684310913087,-2.0726463745958936,-1.65625,0.6068785287328037,0.8999833001030816,0.16870443143228983
1.8394,-1.9760935825135972,-2.031212578642074,-1.7780388726128473,0.49942438779824905,0.9372889200846354,0.10767354023091764
1.5596,-1.9525723702748614,-2.0109654992779653,-1.8458722432454426,0.4361364465312725,0.9578582975599501,0.06841505964953755
1.2798,-1.9397222345352176,-2.002709300684386,-1.8938778771294489,0.3805589484213325,0.9720416598849826,0.035821501332840094
1.0,-1.931688944498698,-2.0003482837007107,-1.9084222581651475,0.471887747446696,0.9766666624281142,0.023266686333550446
