|m|,P_WE,P_naive,rel_sd_WE,rel_sd_naive
0.023,0.115341049,0.1143958732,0.01268166484,0.004957788157
0.068,0.1065979499,0.1068710529,0.01262268755,0.005759951846
0.114,0.1049306933,0.1039481286,0.008292274184,0.004726666831
0.159,0.1000833573,0.09971355144,0.009854792216,0.003991323597
0.205,0.09396689537,0.09382387434,0.009202572596,0.004724388082
0.25,0.08684435244,0.08715557373,0.01146770307,0.004440884425
0.295,0.07900602772,0.07946398135,0.008094731436,0.004151642084
0.341,0.07075099673,0.07071951242,0.01234974386,0.0062359702
0.386,0.06139182318,0.06120115446,0.01426283771,0.004690338574
0.432,0.05161737083,0.05155714602,0.01614981448,0.007407444793
0.477,0.04205201987,0.04200929025,0.01131390599,0.009848458136
0.523,0.03535673957,0.03564596184,0.0164273381,0.009761775345
0.568,0.02273839492,0.02286928712,0.0218126564,0.01147876834
0.614,0.01533168279,0.01538877742,0.02279847333,0.010546454
0.659,0.009112638113,0.009268848341,0.02609423093,0.01195327502
0.705,0.004850324084,0.004851937867,0.03791823929,0.02777792652
0.75,0.002037960459,0.002045399157,0.04238626344,0.02958927857
0.795,0.0006149446238,0.0006273637043,0.07220527666,0.07815995386
0.841,0.0001193343872,0.0001181287282,0.1214696277,0.1225679593
0.886,7.92704243e-06,9.330439132e-06,0.7914605967,0.3571163667
0.932,1.088361934e-07,7.403078279e-08,3.095142139,4.470965956
